iter	Passed	Remaining
1015	5349	2548
1016	5355	2543
1017	5360	2538
1018	5365	2532
1019	5370	2527
1020	5375	2522
1021	5380	2516
1022	5386	2511
1023	5390	2505
1024	5396	2500
1025	5401	2495
1026	5406	2489
1027	5411	2484
1028	5416	2479
1029	5421	2474
1030	5426	2468
1031	5431	2463
1032	5436	2457
1033	5441	2452
1034	5446	2447
1035	5451	2441
1036	5456	2436
1037	5462	2431
1038	5467	2425
1039	5472	2420
1040	5475	2414
1041	5481	2409
1042	5484	2403
1043	5489	2397
1044	5493	2391
1045	5497	2386
1046	5503	2381
1047	5509	2376
1048	5514	2370
1049	5519	2365
1050	5522	2359
1051	5527	2354
1052	5533	2348
1053	5538	2343
1054	5540	2337
1055	5545	2331
1056	5551	2326
1057	5555	2321
1058	5561	2315
1059	5566	2310
1060	5571	2305
1061	5576	2299
1062	5581	2294
1063	5585	2288
1064	5590	2283
1065	5595	2277
1066	5600	2272
1067	5605	2267
1068	5610	2262
1069	5615	2256
1070	5621	2251
1071	5626	2246
1072	5631	2240
1073	5636	2235
1074	5641	2230
1075	5647	2225
1076	5655	2221
1077	5661	2216
1078	5666	2211
1079	5672	2206
1080	5677	2200
1081	5683	2195
1082	5688	2190
1083	5693	2185
1084	5698	2179
1085	5703	2174
1086	5708	2169
1087	5713	2163
1088	5718	2158
1089	5724	2153
1090	5729	2147
1091	5734	2142
1092	5738	2136
1093	5743	2131
1094	5748	2126
1095	5753	2120
1096	5758	2115
1097	5763	2110
1098	5768	2104
1099	5773	2099
1100	5778	2094
1101	5782	2088
1102	5787	2083
1103	5792	2077
1104	5797	2072
1105	5802	2067
1106	5808	2062
1107	5813	2056
1108	5818	2051
1109	5823	2046
1110	5829	2040
1111	5834	2035
1112	5839	2030
1113	5843	2024
1114	5848	2019
1115	5853	2013
1116	5858	2008
1117	5863	2003
1118	5867	1997
1119	5872	1992
1120	5877	1987
1121	5882	1981
1122	5887	1976
1123	5893	1971
1124	5898	1966
1125	5903	1960
1126	5909	1955
1127	5914	1950
1128	5920	1945
1129	5925	1940
1130	5930	1935
1131	5933	1929
1132	5939	1923
1133	5943	1918
1134	5948	1912
1135	5953	1907
1136	5959	1902
1137	5964	1897
1138	5969	1892
1139	5974	1886
1140	5980	1881
1141	5985	1876
1142	5990	1871
1143	5996	1866
1144	6002	1860
1145	6007	1855
1146	6012	1850
1147	6017	1845
1148	6022	1839
1149	6027	1834
1150	6032	1829
1151	6037	1823
1152	6042	1818
1153	6048	1813
1154	6053	1808
1155	6058	1802
1156	6063	1797
1157	6068	1792
1158	6073	1786
1159	6078	1781
1160	6083	1776
1161	6088	1771
1162	6093	1765
1163	6098	1760
1164	6103	1755
1165	6108	1749
1166	6113	1744
1167	6119	1739
1168	6124	1733
1169	6129	1728
1170	6134	1723
1171	6139	1718
1172	6144	1712
1173	6149	1707
1174	6154	1702
1175	6160	1697
1176	6165	1691
1177	6170	1686
1178	6177	1681
1179	6184	1677
1180	6192	1672
1181	6199	1667
1182	6206	1662
1183	6211	1657
1184	6216	1652
1185	6221	1647
1186	6224	1641
1187	6230	1636
1188	6234	1630
1189	6239	1625
1190	6245	1620
1191	6250	1615
1192	6255	1609
1193	6260	1604
1194	6265	1599
1195	6271	1593
1196	6276	1588
1197	6281	1583
1198	6286	1578
1199	6291	1572
1200	6296	1567
1201	6299	1561
