date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes;date_debut
2019-12-14;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;27.5;2019-12-14
2019-12-19;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;11.7;2019-12-19
2019-12-23;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;9.2;2019-12-23
2020-01-03;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;6.2;2020-01-03
2020-01-08;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;6.8;2020-01-08
2020-01-19;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;6.6;2020-01-19
2021-08-05;;Salaires, Fret, emploi…;CGT,SUD Rail;;;;11.0;2021-08-05
2021-11-17;;NAO, salaires, Statut, moyens;CGT,SUD Rail;;;;9.6;2021-11-17
2022-08-06;;Salaires;CGT,SUD Rail,CFDT,UNSA;;;;21.5;2022-08-06
2022-09-29;;Salaires;CGT,SUD Rail,CFDT,UNSA;;;;17.5;2022-09-29
2023-02-08;;Réforme des retraites;CGT,SUD Rail;;;;9.5;2023-02-08
2023-03-11;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;16.0;2023-03-11
2023-03-12;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;14.0;2023-03-12
2023-03-14;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;5.7;2023-03-14
2023-03-24;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;6.1;2023-03-24
2023-03-25;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;8.0;2023-03-25
2023-03-28;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;17.6;2023-03-28
2023-03-29;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;3.6;2023-03-29
2023-03-30;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;2.0;2023-03-30
2023-04-01;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;3.7;2023-04-01
2023-04-13;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;11.9;2023-04-13
