date,opérateur,secteur_d'activité,région,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,consommation_journalière_(mwh_-_pcs_0°c),statut,movement_social
2019-07-20,GRTgaz,GRD/ELD,Hauts-de-France,955.861389,1003.476835,978.848459,895.424015,810.442845,723.556588,695.705478,690.118012,637.767278,650.208931,653.04093,668.173205,806.325556,874.728766,972.972429,1057.099438,1103.100323,1119.959747,1155.437686,1040.452718,905.754836,845.784601,819.668509,857.234377,20921.142951,Définitif,False
2019-07-20,GRTgaz,GRD/ELD,Nouvelle-Aquitaine,218.977545,243.453744,225.69895,203.313891,180.093323,158.260552,157.019769,158.529634,149.77693,143.843427,167.08392,169.504948,241.793548,261.489668,303.003566,320.932269,322.5563,324.27109,301.785432,273.280633,246.729407,217.413276,197.884908,200.309633,5387.006363,Définitif,False
2019-07-21,GRTgaz,GRD/ELD,Occitanie,118.338755,147.046148,150.008912,143.981478,115.725367,97.841919,87.022659,81.212684,79.238985,80.677115,105.033763,136.978407,80.233593,85.876232,103.105144,117.442531,132.188471,133.498623,130.123854,117.501594,102.36326,87.684846,86.307723,97.040936,2616.472999,Définitif,False
2019-07-22,GRTgaz,GRD/ELD,Grand Est,1164.674444,1240.323075,1218.741373,1196.362868,1127.935493,1027.216753,962.397467,959.258426,918.090659,933.885419,1020.958115,1208.732156,1363.689897,1550.551277,1487.687015,1442.860445,1417.274646,1443.956307,1374.869336,1279.459687,1198.401611,1098.234895,1043.377266,1064.48556,28743.42419,Définitif,False
2019-07-23,GRTgaz,GRD/ELD,Pays de la Loire,638.530384,685.610902,650.16652,639.828915,588.940047,584.649239,518.505365,522.301573,494.691049,509.552293,597.939536,725.172488,822.926901,880.703012,926.260073,890.997953,856.660458,806.114271,768.197402,723.850597,661.660519,596.528608,583.897,592.492943,16266.178048,Définitif,False
2019-07-23,GRTgaz,GRD/ELD,Nouvelle-Aquitaine,291.896193,292.149488,287.19075,272.801942,263.047389,252.075064,239.608055,216.087547,218.810184,231.559657,263.23385,328.893314,430.324393,499.619647,460.430034,449.448661,448.151183,422.070871,382.509747,333.745998,277.792994,245.22575,227.75292,268.934562,7603.360193,Définitif,False
2019-07-24,GRTgaz,GRD/ELD,Bretagne,718.53564,724.812398,655.944118,587.236914,545.46208,517.906618,474.800454,465.950452,440.312091,456.765267,512.263995,616.3888,752.051251,876.833815,947.870844,956.15669,983.580767,950.070277,868.009678,831.930435,797.990422,726.959881,697.999823,696.063131,16801.895841,Définitif,False
2019-07-24,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,1071.789294,1143.136088,1115.811725,1050.597875,965.0442,882.127662,831.176246,805.987151,807.902637,821.402294,922.954147,1201.731561,1499.770044,1615.730315,1517.286202,1482.439283,1473.793166,1388.146724,1281.39777,1248.235348,1086.083012,1023.029245,970.009034,987.406468,27192.987491,Définitif,False
2019-07-25,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,440.757394,471.615511,472.197021,440.531232,399.811091,387.189147,357.229702,350.095294,347.210019,347.5071,399.426309,496.610457,601.445829,617.056981,601.683197,587.959527,585.730888,568.907213,526.423755,492.490622,436.428434,415.111915,405.800948,406.807577,11156.027163,Définitif,False
2019-07-25,GRTgaz,GRD/ELD,Grand Est,1029.274141,1075.460055,1097.061535,1071.269614,1007.787846,957.584365,894.911629,869.730134,829.318625,858.977169,918.104717,1133.748078,1383.63577,1438.54188,1367.790777,1312.965001,1372.530083,1334.043977,1237.464019,1142.747036,1019.682908,954.029469,922.517387,950.564649,26179.740864,Définitif,False
2019-07-25,GRTgaz,GRD/ELD,Pays de la Loire,606.560366,644.838505,646.411085,617.083234,589.677404,559.972223,511.443574,494.775768,497.50277,509.304342,558.666497,662.444454,803.052988,833.308584,841.475884,829.144985,800.944387,806.879389,747.464161,725.681266,655.573228,577.173595,569.800369,577.921167,15667.100225,Définitif,False
2019-07-26,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,417.789208,433.196403,426.771091,400.535716,355.748025,339.418137,317.824427,307.372881,298.10801,291.398348,320.22425,318.027902,579.795852,589.272086,568.219722,577.594504,558.038934,517.7784,491.661154,468.967471,403.420844,393.759498,366.866204,375.85079,10117.639857,Définitif,False
2019-07-26,GRTgaz,GRD/ELD,Hauts-de-France,1067.311436,1107.721919,1087.57723,984.406167,913.614902,849.959631,802.667776,777.114634,724.488623,722.151315,693.291274,736.765479,1183.621698,1348.678013,1347.889036,1313.668811,1326.654014,1321.954122,1290.133203,1184.056284,1080.669007,989.458546,956.533299,973.305437,24783.691856,Définitif,False
